15x15
3x5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
11 12 14 13 15 1 2 3 4 5 6 7 8 9 10
6 7 8 9 10 11 12 14 13 15 1 2 3 4 
3 1 4 5 2 8 6 9 12 7 13 14 10 15 11
15 10 13 11 14 3 1 4 5 2 8 6 9 12 7
8 6 9 12 7 15 10 13 11 14 3 1 4 5 2
2 5 1 3 4 -7 11 6 8 9 14 10 15 13 12
12 15 10 14 13 2 5 1 3 4 7 11 6 8 9
7 11 6 8 9 12 15 10 14 13 2 5 1 3 4
5 4 2 1 3 10 9 7 6 8 12 15 14 11 13
13 14 12 15 11 5 4 2 1 3 10 9 7 6 8
10 9 7 6 8 13 14 12 15 11 5 4 2 1 3
4 3 5 2 1 9 8 11 7 6 15 13 12 10 14
14 13 15 10 12 4 3 5 2 1 9 8 11 7 6
9 8 11 7 6 14 13 15 10 12 4 3 5 2 1
